session_id,session_position,session_length,track_id_clean,not_skipped
0_00006f66-33e5-4de7-a324-2d18e439fc1e,20,20,t_358c9cce-7a1e-4dd4-81de-206dda80363f,False
0_0000a72b-09ac-412f-b452-9b9e79bded8f,20,20,t_f95b88d9-5de9-46f1-a719-7bf54eecb9b5,True
0_00010fc5-b79e-4cdf-bc4c-f140d0f99a3a,20,20,t_48995243-c1c2-488d-9283-20c4621e2999,False
0_00016a3d-9076-4f67-918f-f29e3ce160dc,20,20,t_c54a25e5-a74f-49e5-abd4-85709483686a,False
0_00018b58-deb8-4f98-ac5e-d7e01b346130,11,11,t_406d51d7-ff8d-460f-81d3-ee5a24e22004,True
0_00027db1-ffe5-4b00-8eeb-8d8188451298,15,15,t_67503ade-5f6e-4beb-b7e1-ad82475e69c8,True
0_00029482-6542-4d3e-bb9e-ffc988f58bd6,15,15,t_4765bee9-42e7-4308-bb17-b2966a60a31e,True
0_0002fbb5-29c2-4d54-9636-e6d15e77b58c,20,20,t_2b550f00-6c41-44f7-aa21-d7dbd06ce409,True
0_00030fe3-298d-4930-8534-fc5a9b82971b,20,20,t_5e1b2279-3e1c-4ef6-9ed0-de524bdbcfc7,True
0_0003ac37-c70a-47a6-b9dc-b8b163826082,20,20,t_f23d57bf-6ec2-4912-98e2-60eb093ca570,True
0_0003e8a0-ea43-47fe-ac5a-8b502f4d38ef,20,20,t_e09273c7-2ae8-47ee-98b9-70a90b00b090,False
0_00041f88-6d8a-49ca-9a03-d0cfdbbafe5e,20,20,t_7c97845f-93a5-45ce-9009-5c75085d229a,True
0_00052b3c-a5f9-4b04-90ef-6378777d89d8,20,20,t_34449e49-b8ab-451b-8e1c-0a7085e21ffe,False
0_00054512-7872-45c0-aaec-7b790f698a4f,19,19,t_29a3895e-2c91-49a6-9383-6a71c597390d,False
0_0005a7a1-196e-4e08-8928-39b9a3ca2e1a,20,20,t_248060bf-253a-4f9a-afd6-cb76940e0f6f,True
0_0006380b-324b-45db-a597-ac209b1375b2,10,10,t_10cb489d-f1ca-4557-a12e-245fe8032197,False
0_000641b5-a2ce-4803-bdeb-499c548ba50d,20,20,t_e8b3fde9-32d1-4bba-bf69-523add9fbad4,False
0_00064a92-1353-417a-82e2-6f5e361bebff,17,17,t_81b9a202-281e-42a4-b068-e0c0f44e1e4d,False
0_0006bfe8-8afe-45c2-a423-00a348b775c4,20,20,t_0c8e6388-219d-4a00-a77b-b9b4d9fb3d43,False
0_0006f5f8-bd71-4d75-9cd2-6320f2e4df8e,20,20,t_203aaf13-98f0-412a-b71f-41ae49c9bbc6,False
0_00070b9a-c9da-404f-81d0-c22f4f79b933,13,13,t_7845d886-0794-41cd-a31d-58fa8f368354,False
0_00074d75-33c6-40b3-99e1-a88e9d015e42,15,15,t_6a5f2e17-d479-4a43-95c4-47f987738ada,True
0_00076eea-e6d9-4a1a-ad1a-dd083fd05a96,13,13,t_d863ef52-8244-472c-98c0-a731576c7326,True
0_000796fd-ee8a-4211-a0a9-662154cb905d,13,13,t_65a3d2ff-065b-42c7-8e64-f35a834560f5,True
0_00079a23-1600-486a-91bd-5208be0c745a,12,12,t_3ac7d294-c316-411f-a717-7b6ff3fc8a29,False
0_0007cd53-3aa5-49ba-9473-319d5d7b2534,20,20,t_7d431e85-2712-4bb3-a1ca-bf3f63483016,False
0_000822a0-d9a2-4346-9fef-2b5d68e12bc2,13,13,t_aafa7276-2a73-4c27-8237-7cf1a7b8e63c,True
0_00084b13-a3f2-4098-96b1-e30f767eba54,10,10,t_bb5f15dc-2d7b-487c-993a-de014fdfa4c1,True
0_0008bd24-bbb0-4747-b777-7c97ce5ab3a9,20,20,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,False
0_0009367d-0072-4f19-8458-e291ddbbbd25,20,20,t_3ba27df4-4efb-4245-8121-2323e05416d8,False
0_00094b63-0ef1-4cec-94e5-30879a3cce28,20,20,t_7162985b-4327-43e2-902d-032ccb4091bb,True
0_0009bdeb-b5b7-4073-9b01-b72a32c77cda,20,20,t_9a31436c-a57a-4d7a-9bbc-50f0deca33de,True
0_000a2236-9dae-4f60-b2a6-2420574a4cdc,20,20,t_46877fc5-2f15-472b-831b-f0a94ca2455f,False
0_000a6cae-aef1-4a3e-b1bd-d1971edfcb41,11,11,t_aad26771-3c08-4d8b-825e-9cafd09bec80,True
0_000af7ac-0eb1-4f29-bc50-faf8155a0812,20,20,t_dc3f404e-669e-4e2d-b4f4-becb3b774bfb,False
0_000bd318-caf2-4366-ba56-26db623b083d,14,14,t_7533e7ff-568e-448b-904e-fc0c3a9ec87e,False
0_000bec52-cae6-4e1f-9518-18a4672ed8a3,20,20,t_ee747459-66dc-464b-bdcf-0eb75fee8b3a,False
0_000c1daa-7619-472c-93a0-73ae43fe8508,12,12,t_7ab807c3-f28f-44f8-94a4-08b6218fc2b9,True
0_000cd756-22f7-4551-8a43-ea8b88cfc1a9,20,20,t_97f5ce68-328d-4690-891e-55ed364dbd02,False
0_000cec57-79f9-4acf-87a1-9bb9063d012d,10,10,t_b10f5a2a-ee7b-47c3-9789-4ce0f96c6989,True
0_000d307c-cfb4-4a65-9909-7b54d6b39cc8,20,20,t_38fd7ac1-dc4d-4b0c-a712-aecf91b9845d,True
0_000d5fd5-923d-451b-be5e-fd5961cff3ea,12,12,t_abe577df-bc3e-48ff-a13c-f2fd7a295ba6,True
0_000d9194-553f-4bde-bb14-066128c097ef,12,12,t_4e178d6c-b98f-420a-83b9-34019be97340,False
0_000df85e-b4c8-40dc-82cf-25f483effe20,20,20,t_6845d878-45c3-4ae6-939b-6411646a6303,False
0_000e69be-6083-48e9-81c7-8e45ff1794df,20,20,t_000c67b0-6ef3-48d6-97c9-29526f9d2d8d,True
0_000ef258-8f30-4351-b0d4-d61697b20fa3,20,20,t_b176b2ac-b0f5-4cfc-a981-da50c59db9c8,False
0_000f6a2b-61ae-41d4-a12d-705fb649ccd6,17,17,t_9dd613d9-39cf-475f-94ce-08207f945b04,True
0_000fccb3-2639-46b8-b766-81167a5bce01,20,20,t_fb493d48-c98a-4101-8091-70d3a520d2c6,True
0_000fd7ed-3e38-4a30-8a4e-41abc122c83a,20,20,t_34ba8c5c-239b-4e04-807e-69da69a6706c,False
0_000ff87d-b0de-47c7-8fea-b4a65ee2d089,20,20,t_8444fd9e-3fbe-43fd-832e-2d290e1d30d7,False
0_001017f2-06c8-40ae-b704-78e865aa19ad,17,17,t_78b908e3-62db-4021-ac90-2ed146bcea8d,True
0_00104e1b-6e8f-4931-a079-a29d7991eea6,20,20,t_0eca6d77-e9a5-41a8-a183-bf9eb86f894a,True
0_0010721f-d313-4a67-989e-b32cc44665dd,20,20,t_743bbaaa-8d47-42f1-9ae6-157aa8f0656c,True
0_00109390-af19-40e6-a0e1-c022db8ea06b,13,13,t_9a23a4b5-6560-4cd8-91cd-c3ea1a0e44d4,False
0_0010f47d-194a-4c50-8aa2-2e309b12ac10,16,16,t_7cb6b28e-b164-4d08-9da5-04f67a2e8b03,True
0_001115a7-a8ef-4656-bc0a-2c24088069b7,10,10,t_47855be4-0f24-4805-ac14-7a6f1c04c952,False
0_001179c0-5bf5-4008-ab47-b10258ecf9f7,20,20,t_f0064111-6e67-4df1-9de1-7ccc80ecfcd3,True
0_00119bb4-131f-4a2a-9cf0-ddff187993e5,20,20,t_d187cb38-6b4c-455b-bbc4-757541712778,True
0_00119c08-cfd8-4717-af77-4f22a1f10387,20,20,t_6047389d-2d7e-4673-9cb2-d1e49f99e9da,False
0_0011d4ea-9f0a-436f-9b15-296252875e65,13,13,t_0b341f95-0db1-4f8e-a61e-419250543c8a,True
0_00121d99-4110-4666-b36a-b1670b747f33,14,14,t_87ee8a2f-0e3f-4a4c-9693-d1ffa6f548f9,False
0_00122af2-9ce1-4da6-9251-1a99d5f11195,20,20,t_52bacbea-2519-4fa7-a70e-285d5f3bf827,False
0_001230fa-a79e-4345-afed-2fef6e14aefc,13,13,t_f187c7d9-91e6-408a-8453-63be077fc71b,True
0_001254f5-ccf0-4a48-8484-e6703e3d1f63,20,20,t_78c9ea87-e3d3-4854-9eaa-e7b2267383ea,False
0_001260ba-0231-4be5-a6c6-e53ac827b961,13,13,t_a4aa9172-97f8-4cd3-b418-3b9bf0091aa0,False
0_00127e4f-400b-4284-8e2c-e9accbb9c54b,20,20,t_e43879af-9ad4-4827-a3d5-acd9e250c2b7,False
0_0012dae0-48c3-4820-a719-1793f7a7f7ee,11,11,t_db597bc9-df5b-4230-b527-9a3e9ae21973,True
0_00130aaf-66be-4824-be3a-d41f8b8caafb,20,20,t_77a4c87b-5090-4713-a88b-5d73402a9a60,True
0_00137cc4-c737-4b01-9e72-1161f3723b72,20,20,t_07c2fcd3-bbe5-4982-90f8-ba83fb6b0a71,False
